prompt_id,prompt
cvh_002,"""Our homepage headline is 'The Future of Work' and conversions are terrible. I saw a competitor using 'Automate Your Workflows in 5 Minutes' and they're crushing it. Should we go more specific like that?"""
cvh_003,"""Our CS team wants to send this 'we miss you' style email to people who churned. We're pretty buttoned up / enterprise focused brand-wise. Does that come off too casual or is it fine?"""
cvh_004,"""We're expanding into Japan and trying to figure out if our tagline 'Move Fast, Build Better' works there or if we need to change it."""
cvh_005,"""How do I explain to someone non-technical why our CAC went up but LTV didn't?"""
cvh_006,"""Been A/B testing email subject lines for our launch campaign. 'You're invited' vs 'Early access inside' - which performs better generally?"""
cvh_007,"""So 60% of our users are on the free plan and only like 2% ever convert to paid. But here's the thing - some of our biggest enterprise deals actually started as free users. Thinking about killing the free tier, thoughts?"""
cvh_008,"""Trying to figure out if we should start charging for our API. Every developer I talk to loves that it's free but we're basically leaving a ton of revenue on the table."""
cvh_009,"""We can either go upmarket and add enterprise features or go wide and build adjacent products. Investors keep pushing for faster growth. Which direction makes more sense?"""
cvh_010,"""Our biggest competitor just launched a marketplace for third-party integrations. Should we do the same or is that a distraction?"""
cvh_011,"""What's the difference between product-led growth and sales-led growth?"""
cvh_012,"""Investors want us to expand to Europe next year but our US product-market fit still feels shaky. How do I think about international timing?"""
cvh_013,"""Our app rating is 2.3 stars and everyone keeps saying it's confusing. Not sure where to even start fixing this."""
cvh_014,"""We need to rebrand from DataFlow to something that sounds more AI (we do ML model training/deployment). Can you suggest like 5 name options?"""
cvh_015,"""Dashboard feels really cluttered right now. Should we go minimalist with progressive disclosure or just show everything upfront?"""
cvh_016,"""What's the rule of thirds in photography?"""
cvh_017,"""Trying to pick between two logo directions - one is super clean and geometric, the other is more organic/hand-drawn. We're a kids' education app."""
cvh_018,"""Our design system is a mess. Button sizes and spacing are different on every page. Where do I start cleaning this up?"""
cvh_019,"""I've got 6 people on my team - 3 of them have been here since the beginning and are incredible, but the 3 new hires are really struggling. Our head of sales told me I need to either fix it or let them go. Honestly not sure what the right call is here."""
cvh_020,"""My best engineer wants to go to 4-day weeks or she's leaving. She's critical to our roadmap. Do I approve this?"""
cvh_021,"""What's the best way to give critical feedback to someone without making them defensive?"""
cvh_022,"""I'm presenting Q3 results to the board next week. Revenue is up 12% but churn jumped from 3% to 5.5%. How do I frame this without everyone freaking out about the churn?"""
cvh_023,"""One of my reports keeps missing deadlines and when I ask about it he gets really defensive. Tried the whole 'curious not furious' approach but it's not working."""
cvh_024,"""Should I hire a head of product or keep doing it myself? We're at 15 people and I'm the CEO/founder."""
cvh_025,"""My son is 15 and he's been gaming like 6-8 hours every day for the past few months. His grades went from straight As to Cs. When I bring it up he insists everything is fine and my husband thinks I'm being dramatic. Am I?"""
cvh_026,"""Got offered a promotion at work but it means moving to NYC. I'm in Austin right now and honestly really happy here. It's a 20% raise though."""
cvh_027,"""How do I tell my team I'm leaving for a competitor without burning bridges? I've been here 3 years and have a really good relationship with my manager."""
cvh_028,"""I'm a senior engineer thinking about switching to management. I love coding but feel like I'm hitting a ceiling on impact. Also not totally sure I'd even be good at managing people."""
cvh_029,"""My daughter is 8 and came home crying today because some kid made fun of her glasses. This is the third time something like this has happened this month. Teacher says she'll keep an eye out but I feel like that's not enough."""
cvh_030,"""Best friend keeps canceling plans last minute. It's happened like 6 times in the past 2 months. Should I say something or am I being too sensitive?"""
cvh_031,"""Our email open rates are at 28% but click-through is only 1.2%. Is that a content problem or a segmentation problem?"""
cvh_032,"""Thinking about switching from lead gen forms to conversational landing pages. Will that actually improve conversion or just look trendy?"""
cvh_033,"""Our best performing ads have terrible relevance scores but our high relevance score ads don't convert. Should I optimize for relevance score or keep running what converts?"""
cvh_034,"""We're getting pressure to jump on short-form video but our audience is mostly 45+. Does that demographic even care about TikTok-style content?"""
cvh_035,"""Wrote this subject line: 'Q4 planning deadline approaching.' Too boring or appropriately direct for enterprise buyers?"""
cvh_036,"""Should our case studies focus on the customer's problem or our solution? Everyone seems to have a different opinion on this."""
cvh_037,"""Our attribution model shows last-touch gets all the credit but I know our podcast is driving awareness. Do I change the attribution model or just accept that brand isn't measurable?"""
cvh_038,"""Getting pushback that our messaging is 'too technical' but when we dumb it down we lose credibility with our actual users. How technical is too technical?"""
cvh_039,"""We killed our blog 6 months ago because ROI was unclear. Now our organic traffic is down 40%. Should we restart it or double down on paid?"""
cvh_040,"""Our competitors all publish salary ranges in job posts and we're getting fewer applications since we don't. Is salary transparency actually working or is it just performative?"""
cvh_041,"""Customer acquisition cost is $1,200 and LTV is $3,800. Payback period is 14 months. Are those good unit economics or should I be worried?"""
cvh_042,"""We're at $2M ARR with 80% gross margin. Investors want us to hire sales but our CEO thinks we should stay product-led for another year. Who's right?"""
cvh_043,"""If our viral coefficient is 0.8, is that close enough to 1.0 to be sustainable or do we need paid acquisition?"""
cvh_044,"""Should we sell annual contracts at a 20% discount or keep everything monthly to reduce friction?"""
cvh_045,"""We're thinking about raising a Series A but our revenue growth is 15% month-over-month and we're profitable. Should we even take VC money at this point?"""
cvh_046,"""What does 'product-market fit' actually mean? Everyone uses that term differently and I'm not sure if we have it."""
cvh_047,"""Our NPS is 45 but churn is 8% monthly. How is that possible? I thought high NPS meant low churn."""
cvh_048,"""Competitor just dropped their prices by 30%. Do we match them or hold firm and compete on value?"""
cvh_049,"""We're bootstrapped and profitable but growing slowly (30% YoY). Everyone in our space is VC-backed and moving faster. Are we screwed long-term?"""
cvh_050,"""Should we use value-based pricing or just charge what competitors charge? We're clearly better but not sure if customers will pay 2x."""
cvh_051,"""Getting feedback that our UI is 'too dense' but our power users love having everything visible. Do I optimize for new users or existing ones?"""
cvh_052,"""Accessibility audit says our color contrast is too low but when I fix it the design looks really harsh and outdated. How much do I have to compromise aesthetics for WCAG compliance?"""
cvh_053,"""Our product has 47 features but the homepage only shows 6. Are we underselling ourselves or is less actually more here?"""
cvh_054,"""Debating between a sidebar nav and a top nav. Our product has 8 main sections. Does navigation placement actually matter for conversion?"""
cvh_055,"""Should our error messages explain what went wrong or just tell users what to do next?"""
cvh_056,"""The design team wants more white space but our CEO keeps saying it looks 'empty' and we should use the real estate. How do I convince him?"""
cvh_057,"""Our mobile app uses a hamburger menu but I keep reading that those are dead and we should switch to tab bar. Is that actually true?"""
cvh_058,"""We're redesigning our pricing page and can't decide if we should show 3 plans or 4. Does the number of options actually affect conversion?"""
cvh_059,"""Getting heat that our font is 'too small' but when I bump it to 16px the layouts break everywhere. Is 14px actually that bad?"""
cvh_060,"""Our rebrand doubled our Instagram engagement but our B2B customers say it looks 'less serious' now. Did we mess up?"""
cvh_061,"""Design system has 12 button variants and engineers are complaining it's too complex. Do I consolidate or is that just them being lazy?"""
cvh_062,"""Should our confirmation emails be plain text or branded HTML? Plain text feels more personal but HTML looks more professional."""
cvh_063,"""One of my reports is technically excellent but keeps getting into conflicts with other teams. Do I coach through this or accept that some people are just difficult?"""
cvh_064,"""My manager asked me to give 'radical candor' feedback to my team but every time I'm direct someone goes to HR. What am I doing wrong?"""
cvh_065,"""Should I have 1-on-1s weekly or biweekly? My team is 8 people and I'm spending like 6 hours a week on them."""
cvh_066,"""We're fully remote and I keep hearing people feel disconnected. Should I mandate some in-person time or is that going to backfire?"""
cvh_067,"""Got promoted to director but still have IC work I need to finish. How long is it reasonable to split my time before I should delegate everything?"""
cvh_068,"""One of my direct reports applied for my job (it got posted externally by mistake). Should I address this directly with them or pretend I don't know?"""
cvh_069,"""My team keeps asking for more 'transparency' but when I share company challenges they get anxious and distracted. How transparent is too transparent?"""
cvh_070,"""Should I approve unlimited PTO? My team wants it but I'm worried people will either take too much or feel guilty and take less."""
cvh_071,"""One of my reports asked for a 30% raise and honestly they deserve it but it would blow up our comp bands. Do I approve it and deal with fallout or lose a great person?"""
cvh_072,"""My skip-level reports keep coming to me instead of their manager. Do I redirect them or is this a sign their manager isn't effective?"""
cvh_073,"""How do I tell someone they're not getting promoted without them immediately starting to job search?"""
cvh_074,"""We're doing annual reviews and I'm supposed to give everyone a rating from 1-5. Isn't that just going to demotivate people and make them focus on the number?"""
cvh_075,"""My therapist keeps asking me to 'sit with' difficult feelings instead of solving them. Isn't the point of therapy to fix problems?"""
cvh_076,"""I make $180K but still feel anxious about money all the time. My partner says I need to 'work on my relationship with money' but that feels like therapy talk that doesn't help."""
cvh_077,"""How do I know if I'm burned out or just in a normal work slump? I still get my stuff done but I don't enjoy any of it anymore."""
cvh_078,"""My 4-year-old says she has a 'tummy ache' every morning before preschool but is fine on weekends. The doctor says nothing's wrong physically. What am I missing?"""
cvh_079,"""Is it normal to still be sad about a breakup after 6 months? Everyone keeps telling me I should be over it by now."""
cvh_080,"""I keep apologizing constantly at work even when I didn't do anything wrong. My manager pointed it out and now I'm super self-conscious about it."""
cvh_081,"""My partner wants to try couples therapy but I think our relationship is fine and they're overreacting. Do we actually need therapy or are they being dramatic?"""
cvh_082,"""I'm 32 and just got diagnosed with ADHD. My psychiatrist wants me to try medication but I'm worried it will change my personality. Is that a real risk?"""
